Timestamp,Server_ID,CPU_Utilization,Memory_Usage_GB,Network_Traffic_MB,Cost_Per_Hour,System_Crash_Incident
2026-01-01 00:00:00,Cluster-Gamma,53.274606017668276,39.1565557943961,547.4493510371972,0.15,0
2026-01-01 01:00:00,Cluster-Delta,49.56391461956498,33.8498870233489,834.5646589383572,1.2,0
2026-01-01 02:00:00,Cluster-Alpha,7.384712119998519,19.867440609490828,133.8380207380395,0.6,0
2026-01-01 03:00:00,Cluster-Gamma,36.736047969232544,2.400790182962054,138.48513606538518,0.3,0
2026-01-01 04:00:00,Cluster-Gamma,40.358192547084705,32.76683175785047,561.2501766755245,0.15,0
2026-01-01 05:00:00,Cluster-Delta,42.09051862341175,19.70881129085907,946.9148668247872,0.15,0
2026-01-01 06:00:00,Cluster-Alpha,58.9560303381419,47.54571464405318,420.8477807870467,0.6,0
2026-01-01 07:00:00,Cluster-Alpha,54.625036845599695,3.4846684467699767,333.672679252148,0.6,0
2026-01-01 08:00:00,Cluster-Gamma,61.53517362979035,38.25932430095904,610.6224299659069,1.2,0
2026-01-01 09:00:00,Cluster-Beta,76.13414332341793,60.37140272537606,931.1441145395808,0.15,0
2026-01-01 10:00:00,Cluster-Gamma,80.60767370059669,12.813374560912969,838.5585545161774,1.2,0
2026-01-01 11:00:00,Cluster-Gamma,71.78544608906398,31.242268426536913,995.5287746258876,0.15,0
2026-01-01 12:00:00,Cluster-Gamma,93.86370372380892,7.668163492662567,32.34289737035332,0.15,0
2026-01-01 13:00:00,Cluster-Gamma,6.695630188901632,40.79227856020386,121.72956326563461,0.3,0
2026-01-01 14:00:00,Cluster-Delta,23.207352668569786,36.132964196965986,613.3730857329558,0.6,0
2026-01-01 15:00:00,Cluster-Alpha,5.703347372967217,27.256662501195606,822.3706749405112,0.15,0
2026-01-01 16:00:00,Cluster-Delta,65.21514841637807,34.32537533137196,292.3918988836989,1.2,0
2026-01-01 17:00:00,Cluster-Delta,88.51684105234878,57.58762882507863,246.81897715387657,0.6,1
2026-01-01 18:00:00,Cluster-Delta,27.64385358159583,14.170246743286157,789.1060413873889,1.2,0
2026-01-01 19:00:00,Cluster-Gamma,91.21421266605651,3.3989997257315285,65.81803531469927,0.6,0
2026-01-01 20:00:00,Cluster-Beta,10.604867296929159,55.423222851344256,375.68882110675924,0.6,0
2026-01-01 21:00:00,Cluster-Alpha,91.90255049291282,37.7812591080502,510.75113036640647,0.15,0
2026-01-01 22:00:00,Cluster-Beta,37.700909913286,57.22082423863423,564.7451876068202,0.3,0
2026-01-01 23:00:00,Cluster-Delta,14.432137045777136,39.0106038516167,731.3290052248491,0.15,0
2026-01-02 00:00:00,Cluster-Delta,50.186073604328286,52.229987577501554,361.29726619635164,0.6,0
2026-01-02 01:00:00,Cluster-Beta,28.88022079800724,28.639748528019172,616.5575012278612,0.15,0
